level p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
0 420.0 198.089 1.16303 196.787 0.251579 0.0386799 0.876113 0.0237496 195.659 1.10925
1 840.0 200.1189 1.389068 198.3834 0.307083 0.10657530000000001 0.9797579999999999 0.046114699999999995 196.0972 2.24771
2 1680.0 202.59969999999998 1.1559430000000002 200.8982 0.44303099999999995 0.17944159999999998 0.538033 0.0727797 196.5657 4.2732600000000005
3 3360.0 210.6682 2.012714 207.58129999999997 0.7529635 0.2972442 0.970254 0.12084469999999999 198.8891 8.59619
4 6720.0 215.55998 3.65354 209.55096 1.3507179 0.6412041 1.69048 0.2538279 192.24438000000004 17.11843
5 13440.0 212.94248 6.463485 202.10766999999998 2.5174138 1.1759739 2.8171455 0.47702340000000004 167.68623999999997 34.04769000000001
level p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
0 840.0 115.739 1.72148 113.813 0.674367 0.140631 0.928795 0.0299598 112.412 1.37551
1 1680.0 117.1002 1.9601290000000002 114.72290000000001 0.500664 0.321226 1.1539760000000001 0.0579499 112.5433 2.1345799999999997
2 3360.0 120.2748 2.156441 117.23150000000001 0.806566 0.6400539999999999 0.734774 0.1314721 112.8921 4.23767
3 6720.0 126.2095 4.112500000000001 120.09889999999999 1.393468 1.18153 1.586349 0.2303464 111.441 8.471309999999999
4 13440.0 132.48423 8.164406 120.01738000000002 2.630627 2.4124440000000003 3.1964740000000007 0.43719459999999993 102.69146 16.98638
5 26880.0 149.03418000000002 14.429150999999996 126.57100000000001 4.813098000000001 4.004720899999999 5.762258000000001 0.8093125999999998 92.40498 33.52158
level p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
0 1260.0 76.4216 1.99258 74.212 0.708205 0.0675917 1.22642 0.0338728 72.8521 1.33181
1 2520.0 77.8357 2.341108 75.0407 0.5575559999999999 0.1899402 1.611045 0.053591 72.8437 2.15436
2 5040.0 80.2648 2.385954 77.0524 0.936362 0.3229508 1.147958 0.0863217 72.7607 4.22417
3 10080.0 87.47916 4.468297000000001 80.76281 1.730898 0.6957557 2.077969 0.1844927 72.14793 8.478900000000001
4 20160.0 97.95436 8.118923 85.52322000000001 3.2826969999999998 1.3615555999999998 3.5435849999999993 0.34305269999999993 68.41467 16.84166
5 40320.0 119.51513000000001 13.623311999999997 97.81427 5.707758000000001 1.9492565999999998 6.0883910000000006 0.6113337000000001 64.12173 33.239850000000004
level p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
0 1680.0 55.2669 2.27721 52.7185 0.717652 0.176156 1.40214 0.0520889 51.5823 1.09268
1 3360.0 56.6862 2.819196 53.3186 0.731399 0.21992 1.880917 0.0789186 51.358999999999995 1.896106
2 6720.0 59.553700000000006 3.214315 55.357600000000005 1.1617760000000001 0.6311800000000001 1.434444 0.15196210000000002 51.472 3.750975
3 13440.0 67.2294 5.795837000000001 59.01787999999999 2.257149 1.209249 2.368533 0.32864990000000005 51.26797 7.474849
4 26880.0 80.78735999999999 10.726974 64.33838 4.223262 2.3857618 4.20604 0.5833191 49.09172999999999 14.781259
5 53760.0 103.60036999999998 16.843295 76.78989999999999 6.862924999999999 2.4759696 7.6454590000000024 1.1207448 46.61955300000001 29.250209
level p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
0 2100.0 43.5959 3.61562 39.6296 1.64951 0.104342 1.87553 0.0547041 38.7287 0.854504
1 4200.0 44.0155 3.2471829999999997 40.199799999999996 0.8449960000000001 0.19356820000000002 2.224772 0.0929114 38.5061 1.61625
2 8400.0 46.448699999999995 3.193693 42.090450000000004 1.420829 0.36502710000000005 1.435644 0.1631908 38.68137 3.2671669999999997
3 16800.0 69.60355000000001 11.972695999999997 49.51892 3.837839 2.8796745 5.484714999999999 1.3645596000000002 40.9645 7.488472999999999
4 33600.0 68.19213999999998 9.665591000000001 52.83125 3.952814 1.3280218000000001 4.490025999999999 0.7510285000000001 39.82485 12.389178000000001
5 67200.0 94.46177000000002 18.705458999999998 64.68651 7.900133000000001 2.7438917 8.299340999999998 1.5515946000000003 38.472158 24.924859000000005
level p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
0 2520.0 36.4668 4.17109 31.8681 1.88406 0.109902 2.18868 0.060623 31.0507 0.770991
1 5040.0 36.9714 3.7039799999999996 32.7244 0.977855 0.1847526 2.566758 0.08332780000000001 31.2369 1.421961
2 10080.0 39.62701 3.648788 34.7103 1.673791 0.3332188 1.6717760000000002 0.1809354 31.52941 3.0376149999999997
3 20160.0 49.422740000000005 6.854355999999999 39.29586 3.1974810000000007 0.7818679 2.9481330000000003 0.3748369 33.098130000000005 5.893224999999999
4 40320.0 61.763960000000004 10.19621 45.08452 3.8369719999999994 1.1947078 5.2734130000000015 0.7087954 33.50021 11.027386
5 80640.0 90.06125000000003 20.794108999999995 56.92907000000001 8.944987999999999 2.4101801000000003 9.638129 1.4318479 33.48861200000001 22.267910000000004
level p d-max comm-max comp-max allgather-max allreduce-max reducescatter-max gram-max mm-max nnls-max
0 2940.0 30.9151 3.74599 26.6431 0.944296 0.138373 2.67597 0.0570877 25.877 0.713532
1 5880.0 32.712999999999994 4.29068 27.7389 1.029773 0.21354299999999998 3.065293 0.0890685 26.2878 1.377125
2 11760.0 35.7057 4.062291 30.002399999999998 1.8459389999999998 0.4389671 1.804251 0.19178019999999998 26.93911 2.909115
